datetime,level,message
"2025-07-08 12:56:06,096",INFO,Fetched 5 instruments.
"2025-07-08 12:56:18,649",INFO,Recieved RFQ 9a36a89d-aa4c-41a8-a2ce-fd3fabedc70b at price 108856.0
"2025-07-08 12:56:23,324",INFO,Fetched account balance.
"2025-07-08 12:56:23,529",ERROR,"Error placing order: float() argument must be a string or a real number, not 'NoneType'"
"2025-07-08 12:56:51,275",INFO,Fetched account balance.
"2025-07-08 12:56:51,409",INFO,Fetched 5 instruments.
"2025-07-08 12:57:03,093",INFO,Fetched account balance.
"2025-07-08 12:57:03,237",INFO,Fetched 5 instruments.
"2025-07-08 12:57:09,438",INFO,Recieved RFQ 7b335406-eac1-41c5-a4e9-8b1e964077cc at price 108872.0
"2025-07-08 12:57:12,180",INFO,Fetched account balance.
"2025-07-08 12:57:12,328",INFO,Order placed: 4d1ebc87-5bea-11f0-9e1c-8db41a8fed7a
"2025-07-08 12:57:21,182",INFO,"Fetched status for order Order(order_id='4d1ebc87-5bea-11f0-9e1c-8db41a8fed7a', client_order_id='<function uuid4 at 0x00000216C0B56980>', quantity=3.0, base_quantity=3.0, side='sell', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price=108872.0, executed_price=108872.0, executing_unit='risk-adding-strategy', trades=[Trade(instrument='BTCUSD.SPOT', currency='BTC', trade_id='4d1f0aa8-5bea-11f0-9e1c-8db41a8fed7a', origin='rest:core', rfq_id=None, created='2025-07-08T10:57:12.284651Z', price=108872.0, quantity=3.0, base_quantity=3.0, order='4d1ebc87-5bea-11f0-9e1c-8db41a8fed7a', side='sell', executing_unit='risk-adding-strategy')], created='2025-07-08T10:57:12.284651Z')"
"2025-07-08 12:57:21,351",INFO,Fetched account balance.
"2025-07-08 12:58:30,780",INFO,Fetched account balance.
"2025-07-08 12:58:30,978",INFO,Fetched 5 instruments.
"2025-07-08 13:00:00,540",INFO,Recieved RFQ 516a03a4-02ad-4ea2-8610-e95422c61cc8 at price 108928.0
"2025-07-08 13:00:16,873",ERROR,"Error fetching balance: HTTPSConnectionPool(host='api.uat.b2c2.net', port=443): Read timed out. (read timeout=10)"
"2025-07-08 13:04:00,853",INFO,Fetched account balance.
"2025-07-08 13:04:00,966",INFO,Fetched 5 instruments.
"2025-07-08 13:04:32,537",INFO,Recieved RFQ 71cf1286-3618-40c6-b7fb-052a73480d1a at price 2.2934
"2025-07-08 13:05:52,776",INFO,Fetched account balance.
"2025-07-08 13:05:52,917",INFO,Fetched 5 instruments.
"2025-07-08 13:06:03,248",INFO,Recieved RFQ eb90ad78-c714-4f64-869b-deecf53c7ec5 at price 2.2987
"2025-07-08 13:06:12,123",INFO,Fetched account balance.
"2025-07-08 13:06:12,277",INFO,Order placed: 8ef3f4b2-5beb-11f0-aedb-2d53a56693fd
"2025-07-08 13:06:14,896",INFO,"Fetched status for order Order(order_id='8ef3f4b2-5beb-11f0-aedb-2d53a56693fd', client_order_id='<function uuid4 at 0x000001BE33366980>', quantity=22.7, base_quantity=22.7, side='buy', instrument='XRPUST.SPOT', currency='XRP', order_type='FOK', price=2.2987, executed_price=2.2987, executing_unit='risk-adding-strategy', trades=[Trade(instrument='XRPUST.SPOT', currency='XRP', trade_id='8ef442d3-5beb-11f0-aedb-2d53a56693fd', origin='rest:core', rfq_id=None, created='2025-07-08T11:06:12.230706Z', price=2.2987, quantity=22.7, base_quantity=22.7, order='8ef3f4b2-5beb-11f0-aedb-2d53a56693fd', side='buy', executing_unit='risk-adding-strategy')], created='2025-07-08T11:06:12.230706Z')"
"2025-07-08 13:06:15,017",INFO,Fetched account balance.
"2025-07-08 13:07:49,312",INFO,Fetched account balance.
"2025-07-08 13:07:49,457",INFO,Fetched 5 instruments.
"2025-07-08 13:08:44,258",INFO,Fetched account balance.
"2025-07-08 13:08:44,402",INFO,Fetched 5 instruments.
"2025-07-08 13:09:33,664",INFO,Recieved RFQ 1d5c9563-ecdc-4637-8d0b-a9ede8231f4d at price 2.2916
"2025-07-08 13:09:37,137",INFO,Fetched account balance.
"2025-07-08 13:09:37,288",INFO,Order placed: 0925ffe6-5bec-11f0-9e1c-8db41a8fed7a
"2025-07-08 13:09:38,899",INFO,"Fetched status for order Order(order_id='0925ffe6-5bec-11f0-9e1c-8db41a8fed7a', client_order_id='<function uuid4 at 0x0000017D180E68E0>', quantity=50.0, base_quantity=50.0, side='buy', instrument='XRPUST.SPOT', currency='XRP', order_type='FOK', price=2.2916, executed_price=2.2909, executing_unit='risk-adding-strategy', trades=[Trade(instrument='XRPUST.SPOT', currency='XRP', trade_id='09264e07-5bec-11f0-9e1c-8db41a8fed7a', origin='rest:core', rfq_id=None, created='2025-07-08T11:09:37.240487Z', price=2.2909, quantity=50.0, base_quantity=50.0, order='0925ffe6-5bec-11f0-9e1c-8db41a8fed7a', side='buy', executing_unit='risk-adding-strategy')], created='2025-07-08T11:09:37.240487Z')"
"2025-07-08 13:09:39,027",INFO,Fetched account balance.
"2025-07-08 13:12:24,371",INFO,[MOCK] Fetched 1 instruments.
"2025-07-08 13:12:29,624",INFO,[MOCK] Recieved RFQ mock-rfq-id at price 20293.0
"2025-07-08 13:12:30,937",INFO,"[MOCK] Order placed: Order(order_id='mock-order-id', client_order_id='mock-client-order-id', quantity='1.0', base_quantity='1.0', side='buy', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price='20293.0', executed_price='20293.0', executing_unit='mock-unit', trades=[], created='2025-07-05T00:00:00Z')"
"2025-07-08 15:52:48,327",INFO,[MOCK] Fetched 1 instruments.
"2025-07-08 15:52:55,092",INFO,[MOCK] Recieved RFQ mock-rfq-id at price 20293.0
"2025-07-08 15:52:58,044",INFO,"[MOCK] Order placed: Order(order_id='mock-order-id', client_order_id='mock-client-order-id', quantity='1.0', base_quantity='1.0', side='buy', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price='20293.0', executed_price='20293.0', executing_unit='mock-unit', trades=[], created='2025-07-05T00:00:00Z')"
